Symbol,name,country,sector,industry group,industry,exchange
VENTANAS.SN,Puerto Ventanas S.A.,Chile,Industrials,Transportation,Marine,SGO
VOLCAN.SN,Compañía Industrial El Volcán S.A.,Chile,Materials,Materials,Construction Materials,SGO
VSPT.SN,Viña San Pedro Tarapacá S.A.,Chile,Consumer Staples,Food, Beverage & Tobacco,Beverages,SGO
SOPROCAL.SN,Soprocal, Calerías e Industrias S.A.,Chile,Materials,Materials,Metals & Mining,SGO
QUINENCO.SN,Quiñenco SA,Chile,Industrials,Capital Goods,Industrial Conglomerates,SGO
PUCOBRE.SN,Sociedad Punta del Cobre S.A.,Chile,Materials,Materials,Metals & Mining,SGO
POTASIOS-A.SN,Potasios de Chile S.A.,Chile,Industrials,Capital Goods,Industrial Conglomerates,SGO
LIPIGAS.SN,Empresas Lipigas S.A.,Chile,Energy,Energy,Oil, Gas & Consumable Fuels,SGO
LTM.SN,LATAM Airlines Group S.A.,Chile,Industrials,Transportation,Airlines,SGO
MALLPLAZA.SN,Plaza S.A.,Chile,Real Estate,Real Estate,Real Estate Management & Development,SGO
MANQUEHUE.SN,Inmobiliaria Manquehue S.A.,Chile,Real Estate,Real Estate,Real Estate Management & Development,SGO
MASISA.SN,Masisa S.A.,Chile,Materials,Materials,Paper & Forest Products,SGO
MELON.SN,Melon S.A.,Chile,Materials,Materials,Construction Materials,SGO
MINERA.SN,Minera Valparaiso S.A.,Chile,Industrials,Capital Goods,Industrial Conglomerates,SGO
MOLLER.SN,Empresa Constructora Moller y Pérez Cotapos S.A.,Chile,Industrials,Capital Goods,Construction & Engineering,SGO
MOLYMET.SN,Molibdenos y Metales S.A.,Chile,Materials,Materials,Metals & Mining,SGO
MULTIFOODS.SN,Multiexport Foods S.A.,Chile,Consumer Staples,Household & Personal Products,Household Products,SGO
NAVARINO.SN,Navarino S.A.,Chile,Industrials,Transportation,Marine,SGO
NAVIERA.SN,Grupo Empresas Navieras S.A.,Chile,Industrials,Transportation,Marine,SGO
NITRATOS.SN,Nitratos de Chile S.A.,Chile,Financials,Diversified Financials,Capital Markets,SGO
NORTEGRAN.SN,Norte Grande S.A.,Chile,Financials,Diversified Financials,Capital Markets,SGO
NUEVAPOLAR.SN,Empresas La Polar S.A.,Chile,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,SGO
OXIQUIM.SN,Oxiquim S.A.,Chile,Materials,Materials,Chemicals,SGO
